Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
447,Riolu,NULL,NULL,0.7,20.2,Fighting,NULL,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Prankster,Gives priority to a status move.,NULL,NULL,87.5,12.5,70,Diamond / Pearl,Sinnoh,40,70,40,35,40,60,285,0,1,0,0,0,0,1,75,Medium Slow,1059860,57,Undiscovered,NULL,25,NULL,NULL
448,Lucario,NULL,NULL,1.2,54,Fighting,Steel,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",NULL,NULL,87.5,12.5,70,Diamond / Pearl,Sinnoh,70,110,70,115,70,90,525,0,1,0,1,0,0,2,45,Medium Slow,1059860,184,Field,Human-Like,25,645,During The Day
448,Lucario,Mega,NULL,1.3,57.5,Fighting,Steel,Adaptability,Powers up moves of the same type as the Pokémon.,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,X / Y,Kalos,70,145,88,140,70,112,625,0,1,0,1,0,0,2,45,Medium Slow,1059860,219,Field,Human-Like,25,NULL,NULL
449,Hippopotas,NULL,NULL,0.8,49.5,Ground,NULL,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,NULL,NULL,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,68,72,78,38,42,32,330,0,0,1,0,0,0,1,140,Slow,1250000,66,Field,NULL,30,NULL,NULL
450,Hippowdon,NULL,NULL,2,300,Ground,NULL,Sand Stream,The Pokémon summons a sandstorm when it enters a battle.,NULL,NULL,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,108,112,118,68,72,47,525,0,0,2,0,0,0,2,60,Slow,1250000,184,Field,NULL,30,647,Level 34
451,Skorupi,NULL,NULL,0.8,12,Poison,Bug,Battle Armor,Hard armor protects the Pokémon from critical hits.,Sniper,Powers up moves if they become critical hits when attacking.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,40,50,90,30,55,65,330,0,0,1,0,0,0,1,120,Slow,1250000,66,Bug,Water 3,20,NULL,NULL
452,Drapion,NULL,NULL,1.3,61.5,Poison,Dark,Battle Armor,Hard armor protects the Pokémon from critical hits.,Sniper,Powers up moves if they become critical hits when attacking.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,70,90,110,60,75,95,500,0,0,2,0,0,0,2,45,Slow,1250000,175,Bug,Water 3,20,649,Level 40
453,Croagunk,NULL,NULL,0.7,23,Poison,Fighting,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Poison Touch,May poison a target when the Pokémon makes contact.,NULL,NULL,50,50,100,Diamond / Pearl,Sinnoh,48,61,40,61,40,50,300,0,1,0,0,0,0,1,140,Medium Fast,1000000,60,Human-Like,NULL,10,NULL,NULL
454,Toxicroak,NULL,NULL,1.3,44.4,Poison,Fighting,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.,Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Poison Touch,May poison a target when the Pokémon makes contact.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,83,106,65,86,65,85,490,0,2,0,0,0,0,2,75,Medium Fast,1000000,172,Human-Like,NULL,20,651,Level 37
455,Carnivine,NULL,NULL,1.4,27,Grass,NULL,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,74,100,72,90,72,46,454,0,2,0,0,0,0,2,200,Slow,1250000,159,Grass,NULL,25,NULL,NULL
456,Finneon,NULL,NULL,0.4,7,Water,NULL,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,49,49,56,49,61,66,330,0,0,0,0,0,1,1,190,Erratic,600000,66,Water 2,NULL,20,NULL,NULL
457,Lumineon,NULL,NULL,1.2,24,Water,NULL,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Storm Drain,"Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.",Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,69,69,76,69,86,91,460,0,0,0,0,0,2,2,75,Erratic,600000,161,Water 2,NULL,20,654,Level 31
458,Mantyke,NULL,NULL,1,65,Water,Flying,Swift Swim,Boosts the Pokémon's Speed stat in rain.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Water Veil,"The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,45,20,50,60,120,50,345,0,0,0,0,1,0,1,25,Slow,1250000,69,Undiscovered,NULL,25,NULL,NULL
459,Snover,NULL,NULL,1,50.5,Grass,Ice,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NULL,NULL,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,60,62,50,62,60,40,334,0,1,0,0,0,0,1,120,Slow,1250000,67,Monster,Grass,20,NULL,NULL
460,Abomasnow,NULL,NULL,2.2,135.5,Grass,Ice,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NULL,NULL,Soundproof,Soundproofing gives the Pokémon full immunity to all sound-based moves.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,90,92,75,92,85,60,494,0,1,0,1,0,0,2,60,Slow,1250000,173,Monster,Grass,20,657,Level 40
460,Abomasnow,Mega,NULL,2.7,185,Grass,Ice,Snow Warning,The Pokémon summons a hailstorm when it enters a battle.,NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,X / Y,Kalos,90,132,105,132,105,30,594,0,1,0,1,0,0,2,60,Slow,1250000,208,Monster,Grass,20,NULL,NULL
461,Weavile,NULL,NULL,1.1,34,Dark,Ice,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Pickpocket,Steals an item from an attacker that made direct contact.,NULL,NULL,50,50,35,Diamond / Pearl,Sinnoh,70,120,65,45,85,125,510,0,1,0,0,0,1,2,45,Medium Slow,1059860,179,Field,NULL,20,339,Holding Razor Claw At Night
462,Magnezone,NULL,NULL,1.2,180,Electric,Steel,Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Analytic,Boosts move power when the Pokémon moves last.,NULL,NULL,0,0,70,Diamond / Pearl,Sinnoh,70,70,115,130,90,60,535,0,0,0,3,0,0,3,30,Medium Fast,1000000,241,Mineral,NULL,20,1341,Thunder Stone
463,Lickilicky,NULL,NULL,1.7,140,Normal,NULL,Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Cloud Nine,Eliminates the effects of weather.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,110,85,95,80,95,50,515,3,0,0,0,0,0,3,30,Medium Fast,1000000,180,Monster,NULL,20,142,Knowing Rollout
464,Rhyperior,NULL,NULL,2.4,282.8,Ground,Rock,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",Solid Rock,Reduces the power of supereffective attacks taken.,Reckless,Powers up moves that have recoil damage.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,115,140,130,55,55,40,535,0,3,0,0,0,0,3,30,Slow,1250000,241,Monster,Field,20,146,Protector
465,Tangrowth,NULL,NULL,2,128.6,Grass,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,Leaf Guard,Prevents status conditions in harsh sunlight.,Regenerator,Restores a little HP when withdrawn from battle.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,100,100,125,110,50,50,535,0,0,2,0,0,0,2,30,Medium Fast,1000000,187,Grass,NULL,20,148,Knowing Ancient Power
466,Electivire,NULL,NULL,1.8,138.6,Electric,NULL,Motor Drive,Boosts its Speed stat if hit by an Electric-type move instead of taking damage.,NULL,NULL,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",NULL,NULL,75,25,70,Diamond / Pearl,Sinnoh,75,123,67,95,85,95,540,0,3,0,0,0,0,3,30,Medium Fast,1000000,243,Human-Like,NULL,25,221,Electirizer
467,Magmortar,NULL,NULL,1.6,68,Fire,NULL,Flame Body,Contact with the Pokémon may burn the attacker.,NULL,NULL,Vital Spirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",NULL,NULL,75,25,70,Diamond / Pearl,Sinnoh,75,95,67,125,95,83,540,0,0,0,3,0,0,3,30,Medium Fast,1000000,243,Human-Like,NULL,25,222,Magmarizer
468,Togekiss,NULL,NULL,1.5,38,Fairy,Flying,Hustle,"Boosts the Attack stat, but lowers accuracy.",Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Super Luck,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,NULL,NULL,87.5,12.5,70,Diamond / Pearl,Sinnoh,85,50,95,120,115,80,545,0,0,0,2,1,0,3,30,Fast,800000,245,Flying,Fairy,10,265,Shiny Stone
469,Yanmega,NULL,NULL,1.9,51.5,Bug,Flying,Speed Boost,Its Speed stat is boosted every turn.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,86,76,86,116,56,95,515,0,2,0,0,0,0,2,30,Medium Fast,1000000,180,Bug,NULL,20,293,Knowing Ancient Power
470,Leafeon,NULL,NULL,1,25.5,Grass,NULL,Leaf Guard,Prevents status conditions in harsh sunlight.,NULL,NULL,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,NULL,NULL,87.5,12.5,35,Diamond / Pearl,Sinnoh,65,110,130,60,65,95,525,0,0,2,0,0,0,2,45,Medium Fast,1000000,184,Field,NULL,35,228,Leaf Stone
471,Glaceon,NULL,NULL,0.8,25.9,Ice,NULL,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Ice Body,The Pokémon gradually regains HP in a hailstorm.,NULL,NULL,87.5,12.5,35,Diamond / Pearl,Sinnoh,65,60,110,130,95,65,525,0,0,0,2,0,0,2,45,Medium Fast,1000000,184,Field,NULL,35,228,Ice Stone
472,Gliscor,NULL,NULL,2,42.5,Ground,Flying,Hyper Cutter,The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Poison Heal,Restores HP if the Pokémon is poisoned instead of losing HP.,NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,75,95,125,45,75,95,510,0,0,2,0,0,0,2,30,Medium Slow,1059860,179,Bug,NULL,20,331,Holding Razor Fang At Night
473,Mamoswine,NULL,NULL,2.5,291,Ice,Ground,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",Snow Cloak,Boosts evasiveness in a hailstorm.,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,110,130,80,70,60,80,530,0,3,0,0,0,0,3,50,Slow,1250000,239,Field,NULL,20,345,Knowing Ancient Power
474,Porygon-Z,NULL,NULL,0.9,34,Normal,NULL,Adaptability,Powers up moves of the same type as the Pokémon.,Download,Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Analytic,Boosts move power when the Pokémon moves last.,NULL,NULL,0,0,70,Diamond / Pearl,Sinnoh,85,80,70,135,75,90,535,0,0,0,3,0,0,3,30,Medium Fast,1000000,241,Mineral,NULL,20,357,Dubious Disc
475,Gallade,NULL,NULL,1.6,52,Psychic,Fighting,Steadfast,The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.,NULL,NULL,Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.",NULL,NULL,100,0,35,Diamond / Pearl,Sinnoh,68,125,65,65,115,80,518,0,3,0,0,0,0,3,45,Slow,1250000,233,Human-Like,Amorphous,20,409,Dawn Stone When Male
475,Gallade,Mega,NULL,1.6,56.4,Psychic,Fighting,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,NULL,NULL,NULL,NULL,100,0,35,Omega Ruby / Alpha Sapphire,Kalos,68,165,95,65,115,110,618,0,3,0,0,0,0,3,45,Slow,1250000,278,Amorphous,NULL,20,NULL,NULL
476,Probopass,NULL,NULL,1.4,340,Rock,Steel,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Magnet Pull,Prevents Steel-type Pokémon from escaping using its magnetic force.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",NULL,NULL,50,50,70,Diamond / Pearl,Sinnoh,60,55,145,75,150,40,525,0,0,1,0,2,0,3,60,Medium Fast,1000000,184,Mineral,NULL,20,427,Near A Special Magnetic Field
477,Dusknoir,NULL,NULL,2.2,106.6,Ghost,NULL,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",NULL,NULL,50,50,35,Diamond / Pearl,Sinnoh,45,100,135,65,135,45,525,0,0,1,0,2,0,3,45,Fast,800000,236,Amorphous,NULL,25,484,Reaper Cloth
478,Froslass,NULL,NULL,1.3,26.6,Ice,Ghost,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Cursed Body,May disable a move used on the Pokémon.,NULL,NULL,0,100,70,Diamond / Pearl,Sinnoh,70,80,70,80,70,110,480,0,0,0,0,0,2,2,75,Medium Fast,1000000,168,Fairy,Mineral,20,489,Dawn Stone When Female
479,Rotom,NULL,NULL,0.3,0.3,Electric,Ghost,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Diamond / Pearl,Sinnoh,50,50,77,95,77,91,440,0,0,0,1,0,1,2,45,Medium Fast,1000000,154,Amorphous,NULL,20,NULL,NULL
479,Rotom,Heat,NULL,0.3,0.3,Electric,Fire,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Platinum,Sinnoh,50,65,107,105,107,86,520,0,0,0,1,0,1,2,45,Medium Fast,1000000,182,Amorphous,NULL,20,NULL,NULL
479,Rotom,Wash,NULL,0.3,0.3,Electric,Water,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Platinum,Sinnoh,50,65,107,105,107,86,520,0,0,0,1,0,1,2,45,Medium Fast,1000000,182,Amorphous,NULL,20,NULL,NULL
479,Rotom,Frost,NULL,0.3,0.3,Electric,Ice,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Platinum,Sinnoh,50,65,107,105,107,86,520,0,0,0,1,0,1,2,45,Medium Fast,1000000,182,Amorphous,NULL,20,NULL,NULL
479,Rotom,Fan,NULL,0.3,0.3,Electric,Flying,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Platinum,Sinnoh,50,65,107,105,107,86,520,0,0,0,1,0,1,2,45,Medium Fast,1000000,182,Amorphous,NULL,20,NULL,NULL
479,Rotom,Mow,NULL,0.3,0.3,Electric,Grass,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Platinum,Sinnoh,50,65,107,105,107,86,520,0,0,0,1,0,1,2,45,Medium Fast,1000000,182,Amorphous,NULL,20,NULL,NULL
480,Uxie,NULL,Sub-Legendary,0.3,0.3,Psychic,NULL,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,140,Diamond / Pearl,Sinnoh,75,75,130,75,130,95,580,0,0,2,0,1,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
481,Mesprit,NULL,Sub-Legendary,0.3,0.3,Psychic,NULL,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,140,Diamond / Pearl,Sinnoh,80,105,105,105,105,80,580,0,1,0,1,1,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
482,Azelf,NULL,Sub-Legendary,0.3,0.3,Psychic,NULL,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,140,Diamond / Pearl,Sinnoh,75,125,70,125,70,115,580,0,2,0,1,0,0,3,3,Slow,1250000,261,Undiscovered,NULL,80,NULL,NULL
483,Dialga,NULL,Legendary,5.4,683,Steel,Dragon,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Telepathy,Anticipates an ally's attack and dodges it.,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,100,120,120,150,100,90,680,0,0,0,3,0,0,3,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
484,Palkia,NULL,Legendary,4.2,336,Water,Dragon,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Telepathy,Anticipates an ally's attack and dodges it.,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,90,120,100,150,120,100,680,0,0,0,3,0,0,3,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
485,Heatran,NULL,Sub-Legendary,1.7,430,Fire,Steel,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Flame Body,Contact with the Pokémon may burn the attacker.,NULL,NULL,50,50,100,Diamond / Pearl,Sinnoh,91,90,106,130,106,77,600,0,0,0,3,0,0,3,3,Slow,1250000,270,Undiscovered,NULL,10,NULL,NULL
486,Regigigas,NULL,Sub-Legendary,3.7,420,Normal,NULL,Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,110,160,110,80,110,100,670,0,3,0,0,0,0,3,3,Slow,1250000,302,Undiscovered,NULL,120,NULL,NULL
487,Giratina,NULL,Legendary,4.5,750,Ghost,Dragon,Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.",NULL,NULL,Telepathy,Anticipates an ally's attack and dodges it.,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,150,100,120,100,120,90,680,3,0,0,0,0,0,3,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
487,Giratina,Origin,Legendary,6.9,650,Ghost,Dragon,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,Platinum,Sinnoh,150,120,100,120,100,90,680,3,0,0,0,0,0,3,3,Slow,1250000,306,Undiscovered,NULL,120,NULL,NULL
488,Cresselia,NULL,Sub-Legendary,1.5,85.6,Psychic,NULL,Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.",NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Diamond / Pearl,Sinnoh,120,70,120,75,130,85,600,0,0,0,0,3,0,3,3,Slow,1250000,270,Undiscovered,NULL,120,NULL,NULL
489,Phione,NULL,Mythical,0.4,3.1,Water,NULL,Hydration,Heals status conditions if it's raining.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Diamond / Pearl,Sinnoh,80,80,80,80,80,80,480,1,0,0,0,0,0,1,30,Slow,1250000,216,Water 1,Fairy,40,NULL,NULL
490,Manaphy,NULL,Mythical,0.3,1.4,Water,NULL,Hydration,Heals status conditions if it's raining.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,Diamond / Pearl,Sinnoh,100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,Slow,1250000,270,Water 1,Fairy,10,NULL,NULL
491,Darkrai,NULL,Mythical,1.5,50.5,Dark,NULL,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,70,90,90,135,90,125,600,0,0,0,2,0,1,3,3,Slow,1250000,270,Undiscovered,NULL,120,NULL,NULL
492,Shaymin,NULL,Mythical,0.2,2.1,Grass,NULL,Natural Cure,All status conditions heal when the Pokémon switches out.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Diamond / Pearl,Sinnoh,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,Medium Slow,1059860,270,Undiscovered,NULL,120,NULL,NULL
492,Shaymin,Sky,Mythical,0.4,5.2,Grass,Flying,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Platinum,Sinnoh,100,103,75,120,75,127,600,0,0,0,0,0,3,3,45,Medium Slow,1059860,270,Undiscovered,NULL,120,NULL,NULL
493,Arceus,NULL,Mythical,3.2,320,Normal,NULL,Multitype,Changes the Pokémon's type to match the Plate or Z-Crystal it holds.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,Diamond / Pearl,Sinnoh,120,120,120,120,120,120,720,3,0,0,0,0,0,3,3,Slow,1250000,324,Undiscovered,NULL,120,NULL,NULL
494,Victini,NULL,Mythical,0.4,4,Psychic,Fire,Victory Star,Boosts the accuracy of its allies and itself.,NULL,NULL,NULL,NULL,NULL,NULL,0,0,100,Black / White,Unova,100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,Slow,1250000,270,Undiscovered,NULL,120,NULL,NULL
495,Snivy,NULL,NULL,0.6,8.1,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Contrary,Makes stat changes have an opposite effect.,NULL,NULL,87.5,12.5,70,Black / White,Unova,45,45,55,45,55,63,308,0,0,0,0,0,1,1,45,Medium Slow,1059860,62,Field,Grass,20,NULL,NULL
496,Servine,NULL,NULL,0.8,16,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Contrary,Makes stat changes have an opposite effect.,NULL,NULL,87.5,12.5,70,Black / White,Unova,60,60,75,60,75,83,413,0,0,0,0,0,2,2,45,Medium Slow,1059860,145,Field,Grass,20,829,Level 17
497,Serperior,NULL,NULL,3.3,63,Grass,NULL,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,NULL,NULL,Contrary,Makes stat changes have an opposite effect.,NULL,NULL,87.5,12.5,70,Black / White,Unova,75,75,95,75,95,113,528,0,0,0,0,0,3,3,45,Medium Slow,1059860,238,Field,Grass,20,830,Level 36
498,Tepig,NULL,NULL,0.5,9.9,Fire,NULL,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,87.5,12.5,70,Black / White,Unova,65,63,45,45,45,45,308,1,0,0,0,0,0,1,45,Medium Slow,1059860,62,Field,NULL,20,NULL,NULL
499,Pignite,NULL,NULL,1,55.5,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",NULL,NULL,87.5,12.5,70,Black / White,Unova,90,93,55,70,55,55,418,0,2,0,0,0,0,2,45,Medium Slow,1059860,146,Field,NULL,20,832,Level 17
500,Emboar,NULL,NULL,1.6,150,Fire,Fighting,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,NULL,NULL,Reckless,Powers up moves that have recoil damage.,NULL,NULL,87.5,12.5,70,Black / White,Unova,110,123,65,100,65,65,528,0,3,0,0,0,0,3,45,Medium Slow,1059860,238,Field,NULL,20,833,Level 36
501,Oshawott,NULL,NULL,0.5,5.9,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Shell Armor,A hard shell protects the Pokémon from critical hits.,NULL,NULL,87.5,12.5,70,Black / White,Unova,55,55,45,63,45,45,308,0,0,0,1,0,0,1,45,Medium Slow,1059860,62,Field,NULL,20,NULL,NULL
502,Dewott,NULL,NULL,0.8,24.5,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Shell Armor,A hard shell protects the Pokémon from critical hits.,NULL,NULL,87.5,12.5,70,Black / White,Unova,75,75,60,83,60,60,413,0,0,0,2,0,0,2,45,Medium Slow,1059860,145,Field,NULL,20,835,Level 17
503,Samurott,NULL,NULL,1.5,94.6,Water,NULL,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,NULL,NULL,Shell Armor,A hard shell protects the Pokémon from critical hits.,NULL,NULL,87.5,12.5,70,Black / White,Unova,95,100,85,108,70,70,528,0,0,0,3,0,0,3,45,Medium Slow,1059860,238,Field,NULL,20,836,Level 36
504,Patrat,NULL,NULL,0.5,11.6,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Analytic,Boosts move power when the Pokémon moves last.,NULL,NULL,50,50,70,Black / White,Unova,45,55,39,35,39,42,255,0,1,0,0,0,0,1,255,Medium Fast,1000000,51,Field,NULL,15,NULL,NULL
505,Watchog,NULL,NULL,1.1,27,Normal,NULL,Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Analytic,Boosts move power when the Pokémon moves last.,NULL,NULL,50,50,70,Black / White,Unova,60,85,69,60,69,77,420,0,2,0,0,0,0,2,255,Medium Fast,1000000,147,Field,NULL,20,838,Level 20
